name,hotelcode,hotellistid
Zsmart智尚酒店(北京王府井中心店),571571397,160802
北大博雅国际酒店,571809287,278597
北京JW万豪酒店,571807529,80000665
北京艾维克酒店,571790927,327164
北京安徽大厦,571423003,250018
北京奥加美术馆酒店(原北京奥加饭店),571799288,335355
北京巴比伦时尚酒店,571885112,147381
北京百富怡大酒店,572620254,289674
北京百纳烟台山商务酒店,571774633,339123
北京宝辰饭店,571686210,141207
北京保利大厦,571813717,80000611
北京保利大厦酒店,571813717,246718
北京北辰五洲皇冠国际酒店,571859072,235133
北京北辰洲际酒店,571770451,269988
北京北方佳苑饭店,571854785,190233
北京北纬四十度大酒店,571834033,80000705
北京贝尔特酒店,571801477,324409
北京伯豪瑞廷酒店,571810936,80000702
北京博大永康商务酒店,571780740,340666
北京博大永康商务酒店(亦庄经济开发区),571780740,340666
北京长峰假日酒店,571808498,80000676
北京长富宫饭店,571766631,80000696
北京朝阳悠唐皇冠假日酒店,571809579,239357
北京辰茂鸿翔酒店(原北京鸿翔大厦),571788480,169592
北京诚辉商务酒店,572582992,221642
北京崇文门饭店,571571081,136959
北京船舶重工酒店,571792023,367552
北京大成路九号,571779611,80000677
北京大唐科苑宾馆,571890838,157827
北京大学中关新园,571776989,321712
北京大雨澳斯特酒店,571776054,202845
北京德宝饭店,571797996,228381
北京德胜饭店,571784106,139805
北京德胜门华宇假日酒店,571808509,80000729
北京地大国际会议中心,571421598,80000688
北京钓鱼台大酒店,571790019,80000699
北京东长安饭店,571801188,244101
北京东方饭店,571806672,183222
北京东方君悦大酒店,571826373,362115
北京东航大酒店(原北京东航商务首都机场酒店),571775234,183553
北京鄂尔多斯艾力酒店,571845673,309146
北京鄂尔多斯宾馆,571650542,353906
北京二十一世纪饭店,571792024,80000695
北京法官之家酒店,571788042,160322
北京饭店,571798066,322154
北京飞天大厦,571394295,250298
北京丰大国际大酒店,571800950,241996
北京福地凰城酒店,571824296,202846
北京福建大厦,571784335,319916
北京府右街宾馆,571814627,211297
北京富力万丽酒店,571777172,147059
北京港澳中心瑞士酒店,571843232,252636
北京歌华开元大酒店,571808942,207314
北京共济国际酒店,571782212,80000697
北京广安门维景国际大酒店,571814491,80000716
北京广播大厦酒店,571780720,80000660
北京广电国际酒店,571775109,80000687
北京广西大厦,571789063,172869
北京广州大厦,571631033,140148
北京贵宾楼饭店,571789475,370753
