酒店名称,房型名称,RP名称,房型最低价
北大博雅国际酒店,豪华间,豪华客房（城市景观）(内宾),1041.58
北大博雅国际酒店,豪华园林景观房,豪华间(园林景观)(连住2晚及以上),1088.64
北大博雅国际酒店,品致豪华间,(城市景观)(提前14天预订),1088.64
北京JW万豪酒店,豪华间,-预付双早A,1310.16
北京JW万豪酒店,行政房,"Executive Room, Business Lounge Access, Executive Level(含税费)(中宾)",1925.94
北京JW万豪酒店,豪华套房,"Deluxe Suite, 1 Bedroom(含税费)(中宾)",2106.08
北京艾维克酒店,标准间,[无早],589.57
北京艾维克酒店,单人间,[无早](大床),589.57
北京艾维克酒店,商务间,(周末特惠),683.66
北京安徽大厦,高级大床间,(特惠专享)[无早][立即确认],490.22
北京安徽大厦,高级标准间,(双床)(特惠专享)[无早][立即确认],490.22
北京奥加美术馆酒店(原北京奥加饭店),景观商务双床间,景观商务双床房,548.08
北京奥加美术馆酒店(原北京奥加饭店),商务大床房,(手机专享-无早),560.09
北京奥加美术馆酒店(原北京奥加饭店),景观商务大床间,景观商务大床房(手机专享-无早),603.77
北京巴比伦时尚酒店,特惠标准间,特惠双床房(内宾),376.67
北京巴比伦时尚酒店,特惠大床房,(内宾),376.67
北京巴比伦时尚酒店,商务标准房,商务标间(双床)(内宾),468.38
北京百富怡大酒店,公寓高级开间,(内宾),722.77
北京百富怡大酒店,高级客房,高级大床房(内宾),837.41
北京百富怡大酒店,商务客房,商务大床房(内宾),952.05
北京百纳烟台山商务酒店,豪华标准间,豪华间(内宾),788.79
北京百纳烟台山商务酒店,豪华套房,(内宾)(大床),1627.16
北京宝辰饭店,标准双人间,标准间(空气清新房携程专享)(大床),677.64
北京宝辰饭店,行政楼层大床房,行政楼层大床间(双人入住)(白金以上会员特惠)(双早)(特惠大促销),1084.16
北京宝辰饭店,欧式套间,欧式套房(双人入住)(白金以上会员特惠)(双早)(特惠大促销)(大床),1473.93
北京保利大厦,特惠标准间,(双床),562.61
北京保利大厦,豪华大床间,,651.6
北京保利大厦,豪华标准间,豪华标间(双床)(内宾),671.46
北京保利大厦酒店,特惠标准间,(双床),562.61
北京保利大厦酒店,豪华大床间,,651.6
北京保利大厦酒店,豪华标准间,豪华标间(双床)(内宾),671.46
北京北辰五洲皇冠国际酒店,皇冠高级房,皇冠高级间(限时 特惠)[无早],1527.43
北京北辰五洲皇冠国际酒店,皇冠豪华房,皇冠豪华间(限时 特惠)[无早](大床),1854.97
北京北辰五洲皇冠国际酒店,行政高级房,皇冠行政高级间(限时 特惠)[无早],1964.15
北京北辰洲际酒店,洲际豪华房,洲际豪华间(连住2晚及以上)(会员特惠)(特惠大促销)[单早],982.62
北京北辰洲际酒店,洲际观景豪华间,洲际观景客房(特惠大促销)(双人入住)[无早],1412.79
北京北辰洲际酒店,洲际行政房,洲际行政客房(无早),1811.3
北京北方佳苑饭店,标准双人房,标准间（双床）(内宾),743.52
北京北方佳苑饭店,豪华房,Deluxe Double Room(含税费)(中宾),747.88
北京北方佳苑饭店,标准大床房,(内宾),760.98
北京北纬四十度大酒店,特惠单人间,(大床),560.69
北京北纬四十度大酒店,商务标准间,商务标准房 双床,661.63
北京北纬四十度大酒店,豪华标准间,豪华间 双床,685.65
北京贝尔特酒店,贝尔特双床房,-无早,715.13
北京贝尔特酒店,贝尔特大床房,-无早,715.13
北京贝尔特酒店,贝尔特高级双床房,-无早,867.98
北京伯豪瑞廷酒店,高级大床间,(连住2晚及以上)(无早),854.88
北京伯豪瑞廷酒店,行政间,Executive King Nonsmoking(含税费)(中宾),1550.36
北京伯豪瑞廷酒店,豪华间,DOUBLE-DELUXE(含税费)(大床)(中宾),1747.97
北京博大永康商务酒店,标准双人间,标准间(内宾),393.05
北京博大永康商务酒店,商务大床套间,商务套（大床）(内宾),493.49
北京博大永康商务酒店,商务双人套间,商务套间(内宾),502.23
